timestamp,open,high,low,close,volume
1777623360000,0.01367,0.01368,0.01367,0.01367,25611.0
1777623420000,0.01367,0.01368,0.01367,0.01367,16361.0
1777623480000,0.01367,0.01367,0.01366,0.01366,7101.0
1777623540000,0.01366,0.01367,0.01365,0.01366,81113.0
1777623600000,0.01366,0.01366,0.01366,0.01366,4277.0
1777623660000,0.01366,0.01366,0.01365,0.01365,13011.0
1777623720000,0.01366,0.01367,0.01366,0.01367,1359.0
1777623780000,0.01366,0.01366,0.01366,0.01366,8.0
1777623840000,0.01366,0.0137,0.01366,0.01369,564264.0
1777623900000,0.01369,0.0137,0.01369,0.0137,25125.0
1777623960000,0.01369,0.01369,0.01369,0.01369,6055.0
1777624020000,0.01368,0.01368,0.01368,0.01368,949.0
1777624080000,0.01369,0.01369,0.01369,0.01369,389.0
1777624140000,0.01368,0.01369,0.01368,0.01369,1200.0
1777624200000,0.01368,0.01368,0.01367,0.01367,1663.0
1777624260000,0.01367,0.01368,0.01367,0.01368,3359.0
1777624320000,0.01368,0.01368,0.01368,0.01368,3937.0
1777624380000,0.01367,0.01367,0.01367,0.01367,31402.0
1777624440000,0.01367,0.01367,0.01367,0.01367,4869.0
1777624500000,0.01366,0.01366,0.01366,0.01366,18658.0
1777624560000,0.01366,0.01367,0.01366,0.01367,136891.0
1777624620000,0.01366,0.01367,0.01366,0.01366,23229.0
1777624680000,0.01366,0.01367,0.01365,0.01365,7440.0
1777624740000,0.01366,0.01366,0.01366,0.01366,1301.0
1777624800000,0.01366,0.01366,0.01366,0.01366,2566.0
1777624860000,0.01366,0.01367,0.01366,0.01367,2959.0
1777624920000,0.01366,0.01367,0.01366,0.01366,8836.0
1777624980000,0.01366,0.01366,0.01366,0.01366,168.0
1777625040000,0.01366,0.01366,0.01366,0.01366,0.0
1777625100000,0.01366,0.01367,0.01366,0.01367,7966.0
1777625160000,0.01367,0.01367,0.01366,0.01366,4142.0
1777625220000,0.01366,0.01367,0.01366,0.01366,4408.0
1777625280000,0.01366,0.01367,0.01366,0.01366,6705.0
1777625340000,0.01367,0.01367,0.01366,0.01366,2838.0
1777625400000,0.01366,0.01367,0.01366,0.01366,107760.0
1777625460000,0.01367,0.01368,0.01367,0.01368,14846.0
1777625520000,0.01368,0.01368,0.01368,0.01368,7594.0
1777625580000,0.01368,0.01368,0.01367,0.01367,31635.0
1777625640000,0.01368,0.01374,0.01368,0.01374,346991.0
1777625700000,0.01375,0.01375,0.01373,0.01374,1119241.0
1777625760000,0.01375,0.01375,0.01374,0.01375,44860.0
1777625820000,0.01374,0.01374,0.01372,0.01374,77844.0
1777625880000,0.01373,0.01374,0.01373,0.01374,3109.0
1777625940000,0.01374,0.01376,0.01374,0.01376,113618.0
1777626000000,0.01375,0.01375,0.01374,0.01374,28938.0
1777626060000,0.01374,0.01374,0.01374,0.01374,13043.0
1777626120000,0.01373,0.01373,0.01373,0.01373,62170.0
1777626180000,0.01373,0.01373,0.01372,0.01373,4061.0
1777626240000,0.01373,0.01373,0.01372,0.01372,30300.0
1777626300000,0.01372,0.01373,0.01372,0.01372,3120.0
1777626360000,0.01372,0.01375,0.01372,0.01374,243455.0
1777626420000,0.01375,0.01377,0.01375,0.01376,11992.0
1777626480000,0.01377,0.01378,0.01377,0.01378,35621.0
1777626540000,0.01377,0.01377,0.01376,0.01376,52976.0
1777626600000,0.01377,0.01383,0.01377,0.01383,149080.0
1777626660000,0.01381,0.01382,0.01379,0.01379,477423.0
1777626720000,0.01379,0.01379,0.01378,0.01378,12813.0
1777626780000,0.01378,0.01378,0.01378,0.01378,0.0
1777626840000,0.01378,0.01378,0.01378,0.01378,0.0
1777626900000,0.01377,0.01378,0.01377,0.01378,4044.0
1777626960000,0.01378,0.01387,0.01378,0.01387,439270.0
1777627020000,0.01387,0.01387,0.01383,0.01384,460642.0
1777627080000,0.01383,0.01384,0.01383,0.01384,34839.0
1777627140000,0.01383,0.01383,0.01381,0.01382,278998.0
1777627200000,0.0138,0.01388,0.01379,0.01386,518912.0
1777627260000,0.01386,0.01387,0.01382,0.01384,290019.0
1777627320000,0.01385,0.01385,0.01385,0.01385,24001.0
1777627380000,0.01386,0.01386,0.01386,0.01386,1038.0
